MSOA11,AbsXSMeanM,AbsXSMedianM,AbsXSL95M,AbsXSU95M,PosteriorProbabilityM,RelXSMeanM,RelXSMedianM,RelXSL95M,RelXSU95M,M40plus,XSrateM,pcIncM,AbsXSMeanF,AbsXSMedianF,AbsXSL95f,AbsXSU95F,PosteriorProbabilityF,RelXSMeanF,RelXSMedianF,RelXSL95F,RelXSU95F,F40plus,XSrateF,pcIncF
E02001311,5.819514475,5.662089091,-0.107736896,12.60338067,0.972425,1.619302018,1.57560339,0.991258694,2.49190196,2184,266.4612855,61.93020177,1.382178985,1.271662743,-4.382156801,7.669903487,0.6732,1.151939186,1.119160114,0.668289445,1.820601527,2203,62.74076192,15.19391862
E02001312,-0.485461061,-0.571599719,-3.791526701,3.345518764,0.3767,0.957923571,0.930917429,0.602783906,1.474214134,2001,-24.26092259,-4.207642877,-0.852123734,-0.877148366,-3.348116414,1.785697817,0.24445,0.857577062,0.826339837,0.478463435,1.415097954,1860,-45.81310396,-14.24229375
E02001313,5.033005598,4.842804155,-0.037969659,11.12060769,0.973875,1.552361853,1.509316508,0.996428915,2.353348814,1944,258.8994649,55.2361853,7.292043793,7.046454518,0.850836272,15.02991637,0.987675,1.862202837,1.799629654,1.080269484,3.001163398,2039,357.6284351,86.22028373
E02001314,1.342676108,1.257822286,-2.221395468,5.278998529,0.758325,1.237371632,1.195128214,0.723227275,1.973272568,2091,64.21215244,23.73716321,-0.037927436,-0.093036774,-3.061300126,3.281428743,0.47575,1.028561174,0.982110687,0.549397232,1.775963434,2171,-1.747003032,2.856117387
E02001315,1.426273806,1.334695632,-2.998367795,6.344106521,0.724175,1.172273366,1.142504308,0.730434356,1.784894632,2135,66.80439374,17.22733658,2.420257144,2.291922655,-2.151599145,7.712451157,0.841375,1.349212261,1.304849495,0.769971154,2.190180053,2296,105.4118965,34.92122607
E02001316,2.198949511,2.10533626,-1.28180401,6.260770982,0.879875,1.378528623,1.336617678,0.828413178,2.179110808,1565,140.507956,37.85286227,0.619878851,0.514296538,-3.166691564,5.001770035,0.60315,1.112388908,1.07241608,0.637764085,1.821170706,1451,42.72080297,11.23889078
E02001317,11.86613681,11.65374125,3.63110541,21.30316687,0.99795,1.965489785,1.921695133,1.23897448,2.92277149,2314,512.7976148,96.54897852,17.50351618,17.11717113,6.11304246,31.21712463,0.9993,2.074856563,2.024072041,1.317952487,3.134720214,2358,742.3034853,107.4856563
E02001318,4.045034183,3.837723002,-1.856465681,10.991871,0.89985,1.341309675,1.307476784,0.868912247,1.991844056,2211,182.9504379,34.13096745,-0.465849902,-0.525693001,-4.380923638,3.878895105,0.40035,0.965360289,0.934707902,0.557649486,1.546888452,2270,-20.5220221,-3.463971125
E02001319,7.620729378,7.421344788,1.694042639,14.6864692,0.994625,1.892423142,1.840558955,1.158078256,2.91875236,1840,414.1700749,89.24231424,4.320485772,4.147118786,-1.441783639,11.04238907,0.925375,1.500396634,1.454226997,0.87077567,2.395217606,1946,222.0187961,50.03966339
E02001320,4.03894931,3.880965717,-0.913876972,9.963480572,0.941675,1.457771843,1.41880583,0.914416694,2.227540616,1976,204.4002687,45.77718428,-0.146287025,-0.253538483,-4.800451369,5.157601095,0.458775,1.00389183,0.974219027,0.591528558,1.588427376,2133,-6.858275897,0.389183013
E02001321,5.816830902,5.652012439,-0.419749888,13.05377898,0.96565,1.560564011,1.521689169,0.967908401,2.385762858,2162,269.0486079,56.05640114,0.034878566,-0.104851387,-4.342828675,5.14985825,0.48325,1.024675139,0.989112852,0.612759781,1.620205891,2308,1.511203038,2.467513877
E02001322,7.378450184,7.167077713,-0.129627142,16.16261704,0.972525,1.553383426,1.516598169,0.991866364,2.325527535,2045,360.80441,55.33834259,5.395817943,5.192674565,-1.26869517,13.17766132,0.937825,1.497727241,1.456506414,0.905937844,2.324213997,2275,237.1788107,49.7727241
E02001323,1.087585062,0.998944996,-3.462839739,6.110069855,0.66915,1.132144293,1.103715138,0.698914232,1.718521183,2038,53.36531218,13.21442928,0.051948506,-0.058671642,-4.449163081,5.170537803,0.488825,1.028550007,0.993418757,0.592150047,1.663257806,2252,2.306772019,2.855000657
E02001324,3.75545889,3.632919702,-1.389933317,9.73055992,0.913075,1.430621703,1.394705147,0.874514578,2.198085041,2054,182.8363627,43.06217026,3.132707264,2.942579293,-2.389726267,9.780957188,0.848525,1.36350336,1.312921653,0.788815983,2.228933472,2248,139.3553054,36.35033598
E02001325,5.980638917,5.777818795,0.051647025,12.92865844,0.9761,1.598589233,1.555922317,1.004121383,2.417955343,2228,268.4308311,59.85892328,0.482769309,0.374365076,-3.909367815,5.459358314,0.565225,1.081604674,1.04353275,0.627942167,1.750486175,2456,19.65673082,8.160467418
E02001326,5.055672273,4.843324734,-0.29506879,11.5857829,0.966475,1.536986836,1.489744106,0.973373344,2.360787493,2198,230.0123873,53.69868357,-1.602120128,-1.642763038,-5.766447748,2.735385354,0.2166,0.842584741,0.816855984,0.481821574,1.346281772,2333,-68.67210151,-15.74152587
E02001327,2.585797093,2.480725369,-0.885981024,6.672263671,0.918475,1.437801889,1.397103942,0.879954857,2.226997401,1453,177.9626355,43.78018885,2.356299791,2.19943094,-1.803572483,7.470158378,0.846,1.35180234,1.300908406,0.789573755,2.204362327,1912,123.2374368,35.18023402
E02001328,5.316397923,5.094061523,-0.949198236,12.85561487,0.946225,1.455226253,1.417009705,0.932104032,2.193307673,2407,220.872369,45.52262529,1.327957317,1.157074714,-4.03020586,7.586095796,0.658675,1.152379437,1.111042458,0.675841526,1.853045335,2662,49.88569934,15.2379437
E02001329,1.750306916,1.62995069,-2.788030588,7.028520454,0.74935,1.199198115,1.165726731,0.754762306,1.833711578,1760,99.44925658,19.91981147,2.007192146,1.820694447,-3.068059709,8.066411687,0.755075,1.222390332,1.182779685,0.736953269,1.931134661,1916,104.7595066,22.23903317
E02001330,3.241198524,3.110293823,-2.346179943,9.700728666,0.86145,1.304092858,1.273143388,0.824657502,1.968920559,1878,172.5877809,30.4092858,3.343456248,3.138386807,-2.958048436,10.71006846,0.833,1.306737766,1.26710542,0.787311447,2.055546402,2351,142.2142173,30.67377658
E02001331,6.225510609,6.043988212,-0.480865172,13.88286625,0.96495,1.493994082,1.462303981,0.968504392,2.201476628,2263,275.0998943,49.39940824,3.877154118,3.61518687,-3.339628323,12.54684984,0.832,1.285890221,1.24630249,0.802694284,1.997734448,2777,139.6166409,28.58902205
E02001332,6.124693928,5.985042421,0.047175533,12.98411468,0.97605,1.653546637,1.616989802,1.004180711,2.514757251,1627,376.4409298,65.35466369,12.51773913,12.17013224,4.491337942,22.6209529,0.999875,2.326906198,2.239850959,1.388818425,3.769731306,1840,680.3119091,132.6906198
E02001333,9.136041977,8.902873856,1.350124741,18.29990785,0.989125,1.692818364,1.654167728,1.084332399,2.525558106,1999,457.0306142,69.28183639,5.94826229,5.743113548,-0.595758921,13.75131207,0.9602,1.620852792,1.56657081,0.951450583,2.62037259,2232,266.4992065,62.0852792
